frame.time_delta,ip.proto,ip.len,tcp.srcport,tcp.dstport,tcp.flags.syn,icmp.type,icmp.seq,icmp.code
"0.000253953","6","40","17877","53745","False",,,
"0.000069851","6","44","53745","555","True",,,
"0.000116484","6","44","53745","32776","True",,,
"0.000423791","6","40","2022","53745","False",,,
"0.000389411","6","40","555","53745","False",,,
"0.000000394","6","40","32776","53745","False",,,
"0.000085118","6","44","53745","1011","True",,,
"0.000686736","6","40","1011","53745","False",,,
"0.000711005","6","44","53745","1035","True",,,
"0.000743335","6","44","53745","9594","True",,,
"0.000363861","6","40","1035","53745","False",,,
"0.000351853","6","40","9594","53745","False",,,
"0.000151636","6","44","53745","2222","True",,,
"0.000499608","6","44","53745","7937","True",,,
"0.000863833","6","40","2222","53745","False",,,
"0.000000997","6","40","7937","53745","False",,,
"0.000135536","6","44","53745","2041","True",,,
"0.000106641","6","44","53745","6003","True",,,
"0.000146681","6","44","53745","3766","True",,,
"0.000182761","6","44","53745","5815","True",,,
"0.000188341","6","40","2041","53745","False",,,
"0.000000468","6","40","6003","53745","False",,,
"0.000041956","6","40","3766","53745","False",,,
"0.000033113","6","44","53745","1124","True",,,
"0.000278166","6","40","5815","53745","False",,,
"0.000151807","6","44","53745","1002","True",,,
"0.000645895","6","44","53745","5009","True",,,
"0.000088230","6","40","1124","53745","False",,,
"0.000000571","6","40","1002","53745","False",,,
"0.000144800","6","44","53745","2121","True",,,
"0.000107937","6","44","53745","4444","True",,,
"0.000092336","6","44","53745","6547","True",,,
"0.000130135","6","44","53745","54045","True",,,
"0.000095075","6","40","5009","53745","False",,,
"0.000032084","6","44","53745","5214","True",,,
"0.000088871","6","44","53745","33354","True",,,
"0.000087269","6","44","2121","53745","True",,,
"0.000028950","6","40","53745","2121","False",,,
"0.000095708","6","40","4444","53745","False",,,
"0.000068920","6","44","53745","7100","True",,,
"0.000092405","6","44","53745","2393","True",,,
"0.000091831","6","40","6547","53745","False",,,
"0.000030786","6","44","53745","10025","True",,,
"0.000085510","6","40","54045","53745","False",,,
"0.000030151","6","44","53745","161","True",,,
"0.000088330","6","44","53745","5550","True",,,
"0.000318773","6","40","5214","53745","False",,,
"0.000000840","6","40","33354","53745","False",,,
"0.000067727","6","44","53745","1192","True",,,
"0.000089955","6","44","53745","1165","True",,,
"0.000875208","6","40","7100","53745","False",,,
"0.000000984","6","40","2393","53745","False",,,
"0.000000171","6","40","10025","53745","False",,,
"0.000000167","6","40","161","53745","False",,,
"0.000000166","6","40","5550","53745","False",,,
"0.000000166","6","40","1192","53745","False",,,
"0.000000170","6","40","1165","53745","False",,,
"0.001301471","6","44","53745","32774","True",,,
"0.000201133","6","44","53745","1666","True",,,
"0.000981124","6","40","32774","53745","False",,,
"0.000001380","6","40","1666","53745","False",,,
"0.000153157","6","44","53745","1052","True",,,
"0.000893924","6","40","1052","53745","False",,,
"0.000181293","6","44","53745","2638","True",,,
"0.000219454","6","44","53745","4321","True",,,
"0.000594472","6","40","2638","53745","False",,,
"0.000000760","6","40","4321","53745","False",,,
"0.000944132","6","44","53745","714","True",,,
"0.000323997","6","44","53745","6692","True",,,
"0.000641421","6","40","714","53745","False",,,
"0.000000666","6","40","6692","53745","False",,,
"0.000183457","6","44","53745","3828","True",,,
"0.000289035","6","44","53745","2522","True",,,
"0.000128729","6","40","3828","53745","False",,,
"0.000113090","6","44","53745","1151","True",,,
"0.000091886","6","44","53745","6004","True",,,
"0.000077505","6","44","53745","45100","True",,,
"0.000151930","6","40","2522","53745","False",,,
"0.000000434","6","40","1151","53745","False",,,
"0.000046619","6","44","53745","6389","True",,,
"0.000375660","6","40","6004","53745","False",,,
"0.000000469","6","40","45100","53745","False",,,
"0.000000173","6","40","6389","53745","False",,,
"0.000061985","6","44","53745","32779","True",,,
"0.000113787","6","44","53745","6100","True",,,
"0.000158955","6","44","53745","44501","True",,,
"0.000097619","6","44","53745","60443","True",,,
"0.000171036","6","40","32779","53745","False",,,
"0.000060617","6","44","53745","8194","True",,,
"0.000148995","6","40","6100","53745","False",,,
"0.000049580","6","44","53745","1840","True",,,
"0.000107133","6","44","53745","1503","True",,,
"0.000106585","6","44","53745","3283","True",,,
"0.000091744","6","40","44501","53745","False",,,
"0.000164174","6","40","60443","53745","False",,,
"0.000000430","6","40","8194","53745","False",,,
"0.000068132","6","44","53745","2065","True",,,
"0.000247287","6","40","1840","53745","False",,,
"0.000000445","6","40","1503","53745","False",,,
"0.000047901","6","44","53745","1812","True",,,
"0.000188149","6","44","53745","1117","True",,,
"0.000092170","6","44","53745","2604","True",,,
"0.000141929","6","44","53745","55600","True",,,
"0.000257823","6","44","53745","10617","True",,,
"0.000098388","6","44","53745","1310","True",,,
"0.000077683","6","44","53745","2103","True",,,
"0.000504973","6","44","53745","52848","True",,,
"0.000289158","6","44","53745","2920","True",,,
"0.000087695","6","44","53745","2001","True",,,
"0.000132006","6","44","53745","1137","True",,,
"0.000851939","6","44","53745","9220","True",,,
"0.000665889","6","44","53745","48080","True",,,
"0.000414953","6","44","53745","4224","True",,,
"0.000524126","6","44","53745","2106","True",,,
"0.000127184","6","44","53745","4003","True",,,
"0.000070558","6","44","53745","64623","True",,,
"0.000071886","6","44","53745","5221","True",,,
"0.000102222","6","44","53745","3017","True",,,
"0.000092584","6","44","53745","1075","True",,,
"0.000079092","6","44","53745","6566","True",,,
"0.000075437","6","44","53745","5414","True",,,
"0.000067111","6","44","53745","5003","True",,,
"0.000316813","6","44","53745","4446","True",,,
"0.000156637","6","44","53745","1322","True",,,
"0.000076865","6","44","53745","10001","True",,,
"0.000071422","6","44","53745","9878","True",,,
"0.000081057","6","44","53745","7938","True",,,
"0.000069098","6","44","53745","3300","True",,,
"0.000077425","6","44","53745","49175","True",,,
"0.000071462","6","44","53745","543","True",,,
"0.000072519","6","44","53745","8089","True",,,
"0.000067661","6","44","53745","65000","True",,,
"0.000151774","6","44","53745","2170","True",,,
"0.000084213","6","44","53745","61532","True",,,
"0.001519504","6","40","3283","53745","False",,,
"0.000001105","6","40","2065","53745","False",,,
"0.000000164","6","40","1812","53745","False",,,
"0.000000164","6","40","1117","53745","False",,,
"0.000000171","6","40","2604","53745","False",,,
"0.000000163","6","40","55600","53745","False",,,
"0.000000174","6","40","10617","53745","False",,,
"0.000000171","6","40","1310","53745","False",,,
"0.000115254","6","40","2103","53745","False",,,
"0.000000224","6","40","52848","53745","False",,,
"0.000000185","6","40","2920","53745","False",,,
"0.000000193","6","40","2001","53745","False",,,
"0.000000184","6","40","1137","53745","False",,,
"0.000000179","6","40","9220","53745","False",,,
"0.000000176","6","40","48080","53745","False",,,
"0.000000164","6","40","4224","53745","False",,,
